Time_ms	Alt_m	Alt_ft	Lat	Lon	GndSpd_ms	Heading_deg	Bearing_deg	Phase	MotorPos	PID_P	PID_I	LoiterStep
1007188	-0.82	-2.7	42.7038489	-77.1917593	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007238	-0.89	-2.9	42.7038489	-77.1917593	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007288	-0.82	-2.7	42.7038489	-77.1917592	0.024	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007338	-0.74	-2.4	42.7038489	-77.1917592	0.024	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007388	-0.77	-2.5	42.7038489	-77.1917592	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007438	-0.83	-2.7	42.7038489	-77.1917592	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007488	-0.86	-2.8	42.7038489	-77.1917591	0.005	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007538	-0.85	-2.8	42.7038489	-77.1917591	0.005	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007588	-0.79	-2.6	42.7038489	-77.1917592	0.036	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007638	-0.86	-2.8	42.7038488	-77.1917591	0.036	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007688	-0.84	-2.8	42.7038488	-77.1917591	0.036	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007738	-0.86	-2.8	42.7038488	-77.1917591	0.015	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007788	-0.77	-2.5	42.7038488	-77.1917591	0.015	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007838	-0.78	-2.6	42.7038488	-77.1917591	0.017	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007888	-0.85	-2.8	42.7038488	-77.1917591	0.017	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007938	-0.81	-2.7	42.7038489	-77.1917591	0.006	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1007988	-0.79	-2.6	42.7038489	-77.1917591	0.006	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008038	-0.85	-2.8	42.7038489	-77.1917591	0.056	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008088	-0.76	-2.5	42.7038489	-77.1917591	0.056	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008138	-0.84	-2.8	42.7038489	-77.1917591	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008188	-0.81	-2.6	42.7038489	-77.1917591	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008238	-0.79	-2.6	42.7038489	-77.1917591	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008288	-0.69	-2.3	42.7038489	-77.1917591	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008338	-0.80	-2.6	42.7038489	-77.1917591	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008388	-0.82	-2.7	42.7038489	-77.1917591	0.019	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008438	-0.85	-2.8	42.7038489	-77.1917590	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008488	-0.84	-2.7	42.7038489	-77.1917590	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008538	-0.87	-2.9	42.7038489	-77.1917590	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008588	-0.86	-2.8	42.7038489	-77.1917590	0.020	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008638	-0.67	-2.2	42.7038489	-77.1917590	0.015	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008688	-0.67	-2.2	42.7038489	-77.1917590	0.015	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008738	-0.83	-2.7	42.7038489	-77.1917589	0.065	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008788	-0.80	-2.6	42.7038489	-77.1917589	0.065	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008838	-0.83	-2.7	42.7038489	-77.1917590	0.048	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008888	-0.74	-2.4	42.7038489	-77.1917590	0.048	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008938	-0.74	-2.4	42.7038489	-77.1917590	0.012	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1008988	-0.72	-2.4	42.7038489	-77.1917590	0.012	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1009038	-0.67	-2.2	42.7038488	-77.1917589	0.037	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1009088	-0.73	-2.4	42.7038488	-77.1917589	0.010	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1009140	-0.77	-2.5	42.7038489	-77.1917589	0.012	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1009480	-0.71	-2.3	42.7038489	-77.1917589	0.023	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1009729	-0.68	-2.2	42.7038488	-77.1917589	0.017	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1010090	-0.77	-2.5	42.7038489	-77.1917589	0.024	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1010336	-0.70	-2.3	42.7038489	-77.1917589	0.079	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1010696	-0.73	-2.4	42.7038489	-77.1917588	0.053	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1010950	-0.71	-2.3	42.7038489	-77.1917588	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1011306	-0.80	-2.6	42.7038488	-77.1917586	0.007	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1011606	-0.77	-2.5	42.7038488	-77.1917586	0.026	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1011984	-0.73	-2.4	42.7038488	-77.1917585	0.011	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1012234	-0.70	-2.3	42.7038487	-77.1917585	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1012586	-0.87	-2.9	42.7038487	-77.1917584	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1012835	-0.68	-2.2	42.7038487	-77.1917585	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1012892	-0.76	-2.5	42.7038487	-77.1917585	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1012942	-0.72	-2.4	42.7038487	-77.1917585	0.025	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1012992	-0.75	-2.5	42.7038487	-77.1917585	0.025	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013042	-0.81	-2.7	42.7038487	-77.1917585	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013092	-0.87	-2.9	42.7038487	-77.1917585	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013142	-0.83	-2.7	42.7038487	-77.1917585	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013192	-0.80	-2.6	42.7038487	-77.1917585	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013242	-0.77	-2.5	42.7038487	-77.1917585	0.022	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013292	-0.82	-2.7	42.7038487	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013342	-0.77	-2.5	42.7038487	-77.1917585	0.018	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013392	-0.70	-2.3	42.7038487	-77.1917585	0.026	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013442	-0.74	-2.4	42.7038487	-77.1917585	0.026	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013492	-0.78	-2.6	42.7038487	-77.1917585	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013542	-0.78	-2.6	42.7038487	-77.1917585	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013592	-0.68	-2.2	42.7038487	-77.1917585	0.011	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013642	-0.72	-2.4	42.7038487	-77.1917585	0.011	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013692	-0.65	-2.1	42.7038487	-77.1917585	0.030	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013742	-0.71	-2.3	42.7038487	-77.1917585	0.030	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013792	-0.67	-2.2	42.7038488	-77.1917585	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013842	-0.75	-2.5	42.7038488	-77.1917585	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013892	-0.68	-2.2	42.7038488	-77.1917585	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013942	-0.71	-2.3	42.7038488	-77.1917585	0.044	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1013992	-0.70	-2.3	42.7038488	-77.1917585	0.031	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014042	-0.85	-2.8	42.7038488	-77.1917585	0.031	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014092	-0.77	-2.5	42.7038488	-77.1917584	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014142	-0.78	-2.6	42.7038488	-77.1917584	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014192	-0.74	-2.4	42.7038488	-77.1917584	0.034	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014242	-0.76	-2.5	42.7038488	-77.1917584	0.005	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1014292	-0.84	-2.7	42.7038488	-77.1917584	0.027	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
